Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE_SENDER,twitter-mostMentioned-1,Und,0,0.014,0.197,0.023,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ro,0,0.022,0.144,0.031,
LANGUAGE_SENDER,twitter-mostMentioned-1,No,0,0.029,0.149,0.035,
LANGUAGE_SENDER,twitter-mostMentioned-1,Pl,0,0.026,0.189,0.032,
LANGUAGE_SENDER,twitter-mostMentioned-1,Cs,0,0.025,0.105,0.028,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ht,0,0.027,0.153,0.032,
LANGUAGE_SENDER,twitter-mostMentioned-1,Et,0,0.025,0.197,0.035,
LANGUAGE_SENDER,twitter-mostMentioned-1,Fr,0,0.021,0.197,0.029,
LANGUAGE_SENDER,twitter-mostMentioned-1,Es,0,0.020,0.197,0.029,
LANGUAGE_SENDER,twitter-mostMentioned-1,Tl,0,0.022,0.197,0.032,
LANGUAGE_SENDER,twitter-mostMentioned-1,Nl,0,0.026,0.189,0.034,
LANGUAGE_SENDER,twitter-mostMentioned-1,Tr,0,0.029,0.189,0.037,
LANGUAGE_SENDER,twitter-mostMentioned-1,Hu,0,0.031,0.149,0.041,
LANGUAGE_SENDER,twitter-mostMentioned-1,It,0,0.027,0.197,0.038,
LANGUAGE_SENDER,twitter-mostMentioned-1,Da,0,0.025,0.197,0.033,
LANGUAGE_SENDER,twitter-mostMentioned-1,In,0,0.024,0.197,0.032,
LANGUAGE_SENDER,twitter-mostMentioned-1,Sv,0,0.030,0.189,0.037,
LANGUAGE_SENDER,twitter-mostMentioned-1,Pt,0,0.024,0.197,0.035,
LANGUAGE_SENDER,twitter-mostMentioned-1,De,0,0.027,0.197,0.035,
LANGUAGE_SENDER,twitter-mostMentioned-1,Fi,4.318e-04,0.027,0.114,0.030,
LANGUAGE_SENDER,twitter-mostMentioned-1,Cy,0,0.034,0.197,0.041,
LANGUAGE_SENDER,twitter-mostMentioned-1,Is,0.002,0.055,0.197,0.062,
LANGUAGE_SENDER,twitter-mostMentioned-1,Eu,0,0.030,0.189,0.040,
LANGUAGE_SENDER,twitter-mostMentioned-1,Lv,8.636e-04,0.026,0.102,0.032,
LANGUAGE_SENDER,twitter-mostMentioned-1,Hi,0,0.021,0.146,0.028,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ko,0,0.029,0.102,0.038,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ru,0,0.034,0.189,0.049,
LANGUAGE_SENDER,twitter-mostMentioned-1,Lt,0,0.031,0.189,0.041,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ar,0,0.010,0.047,0.017,
LANGUAGE_SENDER,twitter-mostMentioned-1,Iw,4.318e-04,0.020,0.054,0.020,
LANGUAGE_SENDER,twitter-mostMentioned-1,Sl,4.318e-04,0.017,0.075,0.019,
LANGUAGE_SENDER,twitter-mostMentioned-1,Ja,4.318e-04,0.013,0.048,0.015,
LANGUAGE_SENDER,twitter-mostMentioned-1,Vi,0.003,0.025,0.071,0.023,
LANGUAGE_SENDER,twitter-mostMentioned-1,Uk,0,0.005,0.017,0.006,
